id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
248,0,85,83,1,1954,8,4,2,NA,1,1,-1,1,0,1,1,8,5,2,1,1,1,1,1,2,1,0,0,1,2,0,2,NA,2,NA,12,12
249,0,57,60,1,1989,13,7,2,2,1,1,5,1,0,1,1,18,1,7,2,1,1,1,1,2,1,1,0,0,NA,6,2,NA,2,NA,16,17
250,0,40,38,1,2001,12,7,2,2,1,2,5,1,0,1,1,18,1,6,5,1,0,1,3,1,2,0,0,0,1,0,2,NA,2,NA,16,16
251,0,64,67,1,1969,4,2,2,NA,1,1,-1,1,0,1,1,9,5,1,1,1,1,1,4,1,2,0,1,0,NA,6,2,NA,2,NA,12,7.5
252,0,63,68,1,1971,9,4,2,NA,1,1,4,1,0,1,1,13,5,5,-1,1,2,1,3,1,2,0,0,0,NA,5,2,NA,2,NA,12,12
253,0,61,59,1,1994,13,4,2,2,1,1,4,1,0,1,1,15,1,3,6,1,0,1,2,1,2,0,1,0,2,0,2,NA,2,NA,17,17
254,0,65,66,1,1973,12,7,2,1,3,2,5,1,0,0,2,15,5,7,4,0,2,1,1,1,2,0,1,0,NA,5,2,NA,2,NA,17,16
255,0,65,59,1,1994,11,4,2,2,2,1,5,1,0,0,1,16,1,7,6,1,1,1,1,1,2,0,0,0,NA,2,2,NA,2,NA,13,14
256,0,56,55,1,1986,11,3,2,2,1,2,5,1,0,1,1,11,5,2,4,2,0,1,1,1,2,0,0,0,NA,7,2,NA,2,NA,16,14
257,0,65,62,1,1972,11,1,2,NA,1,1,-1,1,0,1,1,20,1,1,5,1,1,1,1,2,1,0,0,0,NA,0,2,NA,2,NA,12,14
258,0,66,42,4,2011,14,7,2,2,3,1,5,1,2,0,2,17,2,5,6,1,0,1,2,2,2,0,0,0,NA,6,2,NA,2,NA,17,20
259,0,41,54,1,2005,12,3,2,2,1,2,3,1,0,1,1,18,2,1,3,2,0,3,3,1,2,0,0,0,NA,0.75,1,0,2,NA,16,16
260,0,57,47,1,1992,10,3,2,2,4,NA,NA,1,0,0,NA,16,5,2,4,0,2,1,1,2,1,NA,NA,NA,2,0,2,NA,NA,NA,14,13
261,0,48,42,1,1998,10,3,2,2,1,1,5,1,0,1,1,13,1,6,3,2,0,1,1,2,1,0,1,0,NA,0.75,1,1,2,NA,14,13
262,0,54,56,1,1998,9,1,2,NA,1,1,4,1,0,1,1,12,1,6,5,1,8,1,1,2,1,0,0,0,2,0,2,NA,2,NA,12,12
263,1,26,27,1,2009,12,3,1,2,3,2,3,2,0,0,2,12,3,3,3,0,5,1,3,1,2,1,1,0,1,0,2,NA,2,NA,16,16
264,0,65,70,1,1990,9,7,1,NA,1,2,5,1,0,1,1,14,5,7,2,2,25,1,3,1,2,0,0,0,NA,0.75,1,0,2,NA,12,12
265,0,26,31,5,2017,12,5,2,2,4,NA,NA,2,1,0,NA,11,1,5,5,0,0,1,2,1,1,0,0,0,NA,3,1,1,1,1,16,16
266,0,52,53,1,1988,9,4,2,NA,1,1,3,1,0,1,1,14,4,4,6,1,2,1,3,1,2,0,0,1,1,0,2,NA,2,NA,12,12
